d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
6.683417e-07,668.341709,1.840216e-06,9.43114912e-04,1.00094311e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.741206e-07,674.120603,1.594842e-06,1.03685301e-03,1.00103685e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.798995e-07,679.899497,1.382160e-06,1.11511961e-03,1.00111512e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.856784e-07,685.678392,1.197819e-06,1.17715393e-03,1.00117715e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.914573e-07,691.457286,1.038046e-06,1.22241766e-03,1.00122242e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.972362e-07,697.236181,8.995697e-07,1.25059822e-03,1.00125060e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.030151e-07,703.015075,7.795546e-07,1.26160912e-03,1.00126161e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.087940e-07,708.793970,6.755415e-07,1.25558745e-03,1.00125559e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.145729e-07,714.572864,5.853985e-07,1.23288858e-03,1.00123289e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.203518e-07,720.351759,5.072775e-07,1.19407818e-03,1.00119408e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.261307e-07,726.130653,4.395764e-07,1.13992167e-03,1.00113992e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.319095e-07,731.909548,3.809063e-07,1.07137130e-03,1.00107137e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.376884e-07,737.688442,3.300633e-07,9.89551055e-04,1.00098955e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.434673e-07,743.467337,2.860039e-07,8.95739594e-04,1.00089574e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.492462e-07,749.246231,2.478235e-07,7.91351471e-04,1.00079135e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.550251e-07,755.025126,2.147381e-07,6.77916904e-04,1.00067792e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.608040e-07,760.804020,1.860681e-07,5.57060356e-04,1.00055706e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.665829e-07,766.582915,1.612246e-07,4.30478233e-04,1.00043048e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.723618e-07,772.361809,1.396971e-07,2.99915978e-04,1.00029992e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.781407e-07,778.140704,1.210432e-07,1.67144871e-04,1.00016714e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
