d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
5.412060e-07,541.206030,4.252655e-05,6.87312508e-07,1.00000069e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.93802389e-07
5.469849e-07,546.984925,3.688861e-05,5.92029217e-07,1.00000059e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.51788723e-07
5.527638e-07,552.763819,3.199590e-05,5.09728239e-07,1.00000051e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.33311179e-07
5.585427e-07,558.542714,2.775032e-05,4.38656778e-07,1.00000044e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.35599644e-07
5.643216e-07,564.321608,2.406662e-05,3.77301286e-07,1.00000038e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.56033026e-07
5.701005e-07,570.100503,2.087069e-05,3.24353491e-07,1.00000032e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,9.21701762e-08
5.758794e-07,575.879397,1.809818e-05,2.78681544e-07,1.00000028e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.17685277e-08
5.816583e-07,581.658291,1.569316e-05,2.39305490e-07,1.00000024e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.79298194e-09
5.874372e-07,587.437186,1.360708e-05,2.05376356e-07,1.00000021e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.65827701e-08
5.932161e-07,593.216080,1.179776e-05,1.76158296e-07,1.00000018e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.79806677e-08
5.989950e-07,598.994975,1.022857e-05,1.51013304e-07,1.00000015e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-6.28269047e-08
6.047739e-07,604.773869,8.867742e-06,1.29388111e-07,1.00000013e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-7.23634971e-08
6.105528e-07,610.552764,7.687661e-06,1.10802908e-07,1.00000011e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-7.76617630e-08
