d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
3.920168e-07,392.016807,1.598841e-03,3.35920392e-05,1.00003359e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.966387e-07,396.638655,1.432022e-03,2.97236234e-05,1.00002972e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.012605e-07,401.260504,1.282332e-03,2.62997675e-05,1.00002630e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.058824e-07,405.882353,1.148055e-03,2.32697261e-05,1.00002327e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.105042e-07,410.504202,1.027638e-03,2.05884608e-05,1.00002059e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.151261e-07,415.126050,9.196814e-04,1.82160156e-05,1.00001822e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.197479e-07,419.747899,8.229214e-04,1.61169584e-05,1.00001612e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.243697e-07,424.369748,7.362185e-04,1.42598803e-05,1.00001426e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.289916e-07,428.991597,6.585460e-04,1.26169483e-05,1.00001262e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.336134e-07,433.613445,5.889790e-04,1.11635060e-05,1.00001116e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.382353e-07,438.235294,5.266852e-04,9.87771757e-06,1.00000988e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.428571e-07,442.857143,4.709154e-04,8.74024939e-06,1.00000874e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.474790e-07,447.478992,4.209962e-04,7.73398772e-06,1.00000773e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.521008e-07,452.100840,3.763220e-04,6.84378671e-06,1.00000684e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.567227e-07,456.722689,3.363487e-04,6.05624447e-06,1.00000606e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.613445e-07,461.344538,3.005875e-04,5.35950415e-06,1.00000536e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.659664e-07,465.966387,2.685998e-04,4.74307710e-06,1.00000474e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.705882e-07,470.588235,2.399917e-04,4.19768609e-06,1.00000420e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.752101e-07,475.210084,2.144097e-04,3.71512604e-06,1.00000372e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.798319e-07,479.831933,1.915369e-04,3.28814065e-06,1.00000329e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.844538e-07,484.453782,1.710891e-04,2.91031301e-06,1.00000291e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.890756e-07,489.075630,1.528113e-04,2.57596866e-06,1.00000258e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.936975e-07,493.697479,1.364752e-04,2.28008981e-06,1.00000228e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.983193e-07,498.319328,1.218762e-04,2.01823932e-06,1.00000202e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.029412e-07,502.941176,1.088310e-04,1.78649349e-06,1.00000179e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.075630e-07,507.563025,9.717531e-05,1.58138253e-06,1.00000158e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.121849e-07,512.184874,8.676221e-05,1.39983796e-06,1.00000140e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.168067e-07,516.806723,7.746005e-05,1.23914609e-06,1.00000124e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.214286e-07,521.428571,6.915106e-05,1.09690682e-06,1.00000110e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.260504e-07,526.050420,6.172981e-05,9.70997309e-07,1.00000097e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.306723e-07,530.672269,5.510198e-05,8.59539794e-07,1.00000086e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.352941e-07,535.294118,4.918320e-05,7.60873189e-07,1.00000076e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.399160e-07,539.915966,4.389800e-05,6.73527962e-07,1.00000067e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.445378e-07,544.537815,3.917888e-05,5.96203943e-07,1.00000060e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.491597e-07,549.159664,3.496549e-05,5.27750710e-07,1.00000053e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.537815e-07,553.781513,3.120387e-05,4.67150259e-07,1.00000047e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.584034e-07,558.403361,2.784577e-05,4.13501691e-07,1.00000041e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.630252e-07,563.025210,2.484809e-05,3.66007675e-07,1.00000037e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.676471e-07,567.647059,2.217228e-05,3.23962486e-07,1.00000032e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.722689e-07,572.268908,1.978391e-05,2.86741439e-07,1.00000029e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.768908e-07,576.890756,1.765221e-05,2.53791543e-07,1.00000025e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.815126e-07,581.512605,1.574969e-05,2.24623238e-07,1.00000022e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.861345e-07,586.134454,1.405177e-05,1.98803100e-07,1.00000020e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.907563e-07,590.756303,1.253653e-05,1.75947378e-07,1.00000018e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.953782e-07,595.378151,1.118436e-05,1.55716291e-07,1.00000016e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
6.000000e-07,600.000000,9.977768e-06,1.37808974e-07,1.00000014e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
