d_m,d_nm,d_hat,xi_m,z_hat,z_m,rho_norm,depletion
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.25106277e-02,2.12553138e-09,4.08237796e-02,9.59176220e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.30107527e-02,2.15053763e-09,4.13018218e-02,9.58698178e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.35108777e-02,2.17554389e-09,4.17798036e-02,9.58220196e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.40110028e-02,2.20055014e-09,4.22577245e-02,9.57742276e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.45111278e-02,2.22555639e-09,4.27355843e-02,9.57264416e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.50112528e-02,2.25056264e-09,4.32133826e-02,9.56786617e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.55113778e-02,2.27556889e-09,4.36911193e-02,9.56308881e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.60115029e-02,2.30057514e-09,4.41687940e-02,9.55831206e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.65116279e-02,2.32558140e-09,4.46464064e-02,9.55353594e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.70117529e-02,2.35058765e-09,4.51239562e-02,9.54876044e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.75118780e-02,2.37559390e-09,4.56014432e-02,9.54398557e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.80120030e-02,2.40060015e-09,4.60788669e-02,9.53921133e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.85121280e-02,2.42560640e-09,4.65562273e-02,9.53443773e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.90122531e-02,2.45061265e-09,4.70335238e-02,9.52966476e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.95123781e-02,2.47561890e-09,4.75107563e-02,9.52489244e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.00125031e-02,2.50062516e-09,4.79879245e-02,9.52012075e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.05126282e-02,2.52563141e-09,4.84650281e-02,9.51534972e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.10127532e-02,2.55063766e-09,4.89420667e-02,9.51057933e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.15128782e-02,2.57564391e-09,4.94190401e-02,9.50580960e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.20130033e-02,2.60065016e-09,4.98959480e-02,9.50104052e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.25131283e-02,2.62565641e-09,5.03727901e-02,9.49627210e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.30132533e-02,2.65066267e-09,5.08495661e-02,9.49150434e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.35133783e-02,2.67566892e-09,5.13262757e-02,9.48673724e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.40135034e-02,2.70067517e-09,5.18029187e-02,9.48197081e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.45136284e-02,2.72568142e-09,5.22794947e-02,9.47720505e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.50137534e-02,2.75068767e-09,5.27560034e-02,9.47243997e-01
